"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County","Phone Number","Hospital Type","Hospital Ownership","Emergency Services"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","Acute Care Hospitals","Government - State","Yes"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","Acute Care Hospitals","Proprietary","Yes"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","Acute Care Hospitals","Proprietary","Yes"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","Acute Care Hospitals","Proprietary","Yes"
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","Acute Care Hospitals","Proprietary","Yes"
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","Acute Care Hospitals","Proprietary","Yes"
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Acute Care Hospitals","Government - Local","Yes"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","Acute Care Hospitals","Proprietary","Yes"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","Acute Care Hospitals","Proprietary","Yes"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","Acute Care Hospitals","Proprietary","Yes"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","Acute Care Hospitals","Proprietary","Yes"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","Acute Care Hospitals","Government - Local","Yes"
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","Acute Care Hospitals","Proprietary","Yes"
"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","","","DECATUR","AL","35609","MORGAN","2563412000","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","Acute Care Hospitals","Proprietary","Yes"
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","Acute Care Hospitals","Government - State","Yes"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","Acute Care Hospitals","Government - Local","Yes"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","Acute Care Hospitals","Government - State","Yes"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","Acute Care Hospitals","Government - Hospital District or Authority","No"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","Acute Care Hospitals","Proprietary","Yes"
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010110","BULLOCK COUNTY HOSPITAL","102 WEST CONECUH AVENUE","","","UNION SPRINGS","AL","36089","BULLOCK","3347382140","Acute Care Hospitals","Proprietary","Yes"
"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","","","DEMOPOLIS","AL","36732","MARENGO","3342894000","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","","","MOBILE","AL","36652","MOBILE","2514354700","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","","","BESSEMER","AL","35021","JEFFERSON","2054817000","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","","","SELMA","AL","36701","DALLAS","3344184100","Acute Care Hospitals","Proprietary","Yes"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","","","MONROEVILLE","AL","36461","MONROE","2515753111","Acute Care Hospitals","Government - Local","Yes"
"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","","","HALEYVILLE","AL","35565","WINSTON","2054857117","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","","","TROY","AL","36081","PIKE","3346705000","Acute Care Hospitals","Government - Federal","Yes"
"010128","JACKSON MEDICAL CENTER","220 HOSPITAL DRIVE","","","JACKSON","AL","36545","CLARKE","2512469021","Acute Care Hospitals","Proprietary","Yes"
"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","","","BAY MINETTE","AL","36507","BALDWIN","2519375521","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010130","ST VINCENT'S ST CLAIR","7063 VETERANS PARKWAY","","","PELL CITY","AL","35125","SAINT CLAIR","2053383301","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","","","HUNTSVILLE","AL","35801","MADISON","2568823100","Acute Care Hospitals","Proprietary","Yes"
"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","","","BIRMINGHAM","AL","35233","JEFFERSON","2059303200","Acute Care Hospitals","Government - Local","No"
"010138","HILL HOSPITAL OF SUMTER COUNTY","751 DERBY DRIVE","","","YORK","AL","36925","SUMTER","2053925263","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","","","BIRMINGHAM","AL","35209","JEFFERSON","2058771000","Acute Care Hospitals","Proprietary","Yes"
"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","","","MOBILE","AL","36608","MOBILE","2513449630","Acute Care Hospitals","Proprietary","Yes"
"010145","NORTHPORT MEDICAL CENTER","2700 HOSPITAL DRIVE","","","NORTHPORT","AL","35476","TUSCALOOSA","2053334500","Acute Care Hospitals","Government-Hospital District or Authority","Not Available"
"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","","","JACKSONVILLE","AL","36265","CALHOUN","2567824538","Acute Care Hospitals","Proprietary","Yes"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","","","EVERGREEN","AL","36401","CONECUH","2515782480","Acute Care Hospitals","Proprietary","Yes"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","","","MONTGOMERY","AL","36117","MONTGOMERY","3342448330","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"01014F","BIRMINGHAM VA MEDICAL CENTER","700 SOUTH 19TH STREET","","","BIRMINGHAM                    ","AL","35233","JEFFERSON","2059334515","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","Yes"
"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","","","GREENVILLE","AL","36037","BUTLER","3343822200","Acute Care Hospitals","Proprietary","Yes"
"010152","INFIRMARY WEST","5600 GIRBY RD","","","MOBILE","AL","36693","MOBILE","2516605236","Acute Care Hospitals","Government - State","Yes"
"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","","","MUSCLE SHOALS","AL","35661","COLBERT","2563861601","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","","","RUSSELLVILLE","AL","35653","FRANKLIN","2563321611","Acute Care Hospitals","Proprietary","Yes"
"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","","","SYLACAUGA","AL","35150","TALLADEGA","2562495000","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010167","UAB HIGHLANDS","1201 11TH AVENUE SOUTH","","","BIRMINGHAM","AL","35205","JEFFERSON","2059307000","Acute Care Hospitals","Government-Hospital District or Authority","Not Available"
"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","","","PHENIX CITY","AL","36867","RUSSELL","3347323000","Acute Care Hospitals","Government - State","Yes"
"010169","ATMORE COMMUNITY HOSPITAL","401 MEDICAL PARK DRIVE","","","ATMORE","AL","36502","ESCAMBIA","2513682500","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"01019F","VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY","215 PERRY HILL ROAD","","","MONTGOMERY                    ","AL","36109","MONTGOMERY","3342604100","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","Yes"
"01021F","TUSCALOOSA VA MEDICAL CENTER","3701 LOOP ROAD","","","TUSCALOOSA                    ","AL","35404","TUSCALOOSA","2055542000","ACUTE CARE - VETERANS ADMINISTRATION","Government Federal","Yes"
"011300","WASHINGTON COUNTY HOSPITAL","14600 ST. STEPHENS AVENUE","","","CHATOM","AL","36518","WASHINGTON","2518472223","Critical Access Hospitals","Voluntary non-profit - Other","Yes"
"011302","RED BAY HOSPITAL","211 HOSPITAL ROAD","","","RED BAY","AL","35582","FRANKLIN","2563569532","Critical Access Hospitals","Government - Hospital District or Authority","Yes"
"013301","UNIV OF S AL CHILDREN'S & WOMEN'S HOS","1700 CENTER STREET","","","MOBILE","AL","36604","MOBILE","2514151000","Childrens","Government - State","Yes"
"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","","","ANCHORAGE","AK","99519","ANCHORAGE","9072613675","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","","","PALMER","AK","99645","MATANUSKA SUSITNA","9077468600","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","","","JUNEAU","AK","99801","JUNEAU","9077968900","Acute Care Hospitals","Proprietary","Yes"
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","","","ANCHORAGE","AK","99508","ANCHORAGE","9072761131","Acute Care Hospitals","Proprietary","Yes"
"020018","YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","","","BETHEL","AK","99559","BETHEL","9075436300","Acute Care Hospitals","Government - Federal","Yes"
"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","","","SOLDOTNA","AK","99669","KENAI PENINSULA","9072624404","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","","","ANCHORAGE","AK","99508","ANCHORAGE","9075632662","Acute Care Hospitals","Government - Federal","Yes"
"020027","MT EDGECUMBE HOSPITAL","222 TONGASS DR","","","SITKA","AK","99835","SITKA","9079662411","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"021301","PROVIDENCE VALDEZ MEDICAL CENTER","PO BOX 550","","","VALDEZ","AK","99686","VALDEZ CORDOVA","9078352249","Critical Access Hospitals","Government - Local","Yes"
"021302","PROVIDENCE SEWARD HOSPITAL","417 FIRST AVENUE, PO BOX 365","","","SEWARD","AK","99664","KENAI PENINSULA","9072245205","Critical Access Hospitals","Government - Local","Yes"
"021303","SITKA COMMUNITY HOSPITAL","209 MOLLER DRIVE","","","SITKA","AK","99835","SITKA","9077473241","Critical Access Hospitals","Government - Local","Yes"
"021304","PETERSBURG MEDICAL CENTER"," PO BOX 589","","","PETERSBURG","AK","99833","","9077724291","Critical Access Hospitals","Voluntary non-profit - Other","Yes"
"021305","WRANGELL MEDICAL CENTER","310 BENNETT STREET PO BOX 1081","","","WRANGELL","AK","99929","","9078747000","Critical Access Hospitals","Government - Local","No"
"021306","PROVIDENCE KODIAK ISLAND MEDICAL CTR","1915 EAST REZANOF DRIVE","","","KODIAK","AK","99615","KODIAK ISLAND","9074869592","Critical Access Hospitals","Voluntary non-profit - Private","Yes"
"021307","CORDOVA COMMUNITY MEDICAL CENTER","PO BOX 160 - 602 CHASE AVENUE","","","CORDOVA","AK","99574","VALDEZ CORDOVA","9074248000","Critical Access Hospitals","Government - Local","Yes"
"021308","NORTON SOUND REGIONAL HOSPITAL","306 WEST 5TH AVENUE, P O BOX 966","","","NOME","AK","99762","NOME","9074433311","Critical Access Hospitals","Voluntary non-profit - Private","Yes"
"021311","PEACEHEALTH KETCHIKAN MEDICAL             CENTER","3100 TONGASS AVENUE","","","KETCHIKAN","AK","99901","KETCHIKAN GATEWAY","9072255171","Critical Access Hospitals","Voluntary non-profit - Church","Yes"
"021313","SOUTH PENINSULA HOSPITAL","4300 BARTLETT ST","","","HOMER","AK","99603","KENAI PENINSULA","9072358101","Critical Access Hospitals","Government - Local","Yes"
"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","","","PHOENIX","AZ","85031","MARICOPA","6238485000","Acute Care Hospitals","Proprietary","Yes"
"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","","","PHOENIX","AZ","85006","MARICOPA","6022394200","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","","","TUCSON","AZ","85712","PIMA","5203275461","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","","","COTTONWOOD","AZ","86326","YAVAPAI","9286396000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","","","TUCSON","AZ","85745","PIMA","5208723000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","","","TUCSON","AZ","85711","PIMA","5208733000","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","","","PRESCOTT","AZ","86301","YAVAPAI","9284452700","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","","","YUMA","AZ","85364","YUMA","9283367275","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","","","PHOENIX","AZ","85020","MARICOPA","6028706060","Acute Care Hospitals","Proprietary","Yes"
"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","","","CASA GRANDE","AZ","85222","PINAL","5203816453","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","","","PHOENIX","AZ","85008","MARICOPA","6023445011","Acute Care Hospitals","Government - Local","Yes"
"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","","","FLAGSTAFF","AZ","86001","COCONINO","9287732009","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","","","PHOENIX","AZ","85013","MARICOPA","6024063000","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","","","PHOENIX","AZ","85015","MARICOPA","6022490212","Acute Care Hospitals","Proprietary","No"
"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","","","PAYSON","AZ","85541","GILA","9284743222","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","","","CHANDLER","AZ","85224","MARICOPA","4809634561","Acute Care Hospitals","Voluntary non-profit - Other","No"
"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","","","PHOENIX","AZ","85006","MARICOPA","6022518156","Acute Care Hospitals","Proprietary","Yes"
"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","","","SCOTTSDALE","AZ","85251","MARICOPA","4808824000","Acute Care Hospitals","Proprietary","Yes"
"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","","","SIERRA VISTA","AZ","85635","COCHISE","5204584641","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","","","KINGMAN","AZ","86409","MOHAVE","9287572101","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","","","SUN CITY","AZ","85351","MARICOPA","6239777211","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","","","SHOW LOW","AZ","85901","NAVAJO","9285374375","Acute Care Hospitals","Proprietary","Yes"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","","","PARKER","AZ","85344","LA PAZ","9286697300","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
